text,label,category,language,source,clean_text
Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,0,none,english,uci,lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea
Madam ek minute Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,relative,hinglish,indian,madam ek minute aapka aadhaar deactivate hone wala hai turant update kijiye
I'm reaching home in 5 min.,0,none,english,uci,i m reaching home in 5 min
"Yes obviously, but you are the eggs-pert and the potato head… Speak soon! ",0,none,english,uci,yes obviously but you are the eggs pert and the potato head speak soon
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,0,none,english,uci,no am working on the ringing u thing but have whole houseful of screaming brats so am pulling my hair out loving u
Quite lor. But dun tell him wait he get complacent...,0,none,english,uci,quite lor but dun tell him wait he get complacent
Watching telugu movie..wat abt u?,0,none,english,uci,watching telugu movie wat abt u
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",1,general_spam,english,uci,free nokia or motorola with upto 12mths 1 2price linerental 500 free x net mins 100txt mth free b tooth call mobileupd8 on or call 2optout d3wv
Crime Branch se bol raha hoon. Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,aadhaar,hinglish,indian,crime branch se bol raha hoon aapka aadhaar deactivate hone wala hai turant update kijiye
"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",1,general_spam,english,uci,urgent your mobile number won a 2000 bonus caller prize on 10 06 03 this is the 2nd attempt to reach you call asap box 97n7qp 150ppm
Police headquarters se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,aadhaar,hinglish,indian,police headquarters se bol raha hoon congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,0,none,english,uci,what s up my own oga left my phone at home and just saw ur messages hope you are good have a great weekend
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,none,english,uci,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh
Try to do something dear. You read something for exams,0,none,english,uci,try to do something dear you read something for exams
ACP Sharma bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,hinglish,indian,acp sharma bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,0,none,english,uci,alright tyler s got a minor crisis and has to be home sooner than he thought so be here asap
Special Investigation Team se bol raha hoon. Aapko investigation officer se turant baat karni hogi.,1,police_digital_arrest,hinglish,indian,special investigation team se bol raha hoon aapko investigation officer se turant baat karni hogi
I wont. So wat's wit the guys,0,none,english,uci,i wont so wat s wit the guys
What's the significance?,0,none,english,uci,what s the significance
"Sorry, I'll call later ok bye",0,none,english,uci,sorry i ll call later ok bye
Namaste sir Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,hinglish,indian,namaste sir aapke documents ka misuse karke financial fraud kiya gaya hai
Sorry for the delay. Yes masters,0,none,english,uci,sorry for the delay yes masters
I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,0,none,english,uci,i ve been barred from all b and q stores for life this twat in orange dungerees came up to me and asked if i wanted decking so i got the first punch in
Special Investigation Team se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,amazon,hinglish,indian,special investigation team se bol raha hoon congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
Crime Branch se bol raha hoon. Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian,crime branch se bol raha hoon aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain ye cyber crime hai
Welp apparently he retired,0,none,english,uci,welp apparently he retired
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),0,none,english,uci,wow didn t think it was that common i take it all back ur not a freak unless u chop it off
Nvm it's ok...,0,none,english,uci,nvm it s ok
Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,1,general_spam,english,uci,todays voda numbers ending with 7634 are selected to receive a 350 reward if you have a match please call quoting claim code 7684 standard rates apply
CBI se bol raha hoon. Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,hinglish,indian,cbi se bol raha hoon cyber crime department se bol raha hoon aapke number se objectionable content circulate hua hai
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,0,none,english,uci,wylie update my weed dealer carlos went to freedom and had a class with lunsford
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0,none,english,uci,i got a call from a landline number i am asked to come to anna nagar i will go in the afternoon
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,1,general_spam,english,uci,guess what somebody you know secretly fancies you wanna find out who it is give us a call on from landline datebox1282essexcm61xn 150p min 18
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,0,none,english,uci,aah a cuddle would be lush i d need lots of tea and soup before any kind of fumbling
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,0,none,english,uci,i was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here that dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives every dime so for me to expect anything from you is not practical something like that
Rofl betta invest in some  anti aging products,0,none,english,uci,rofl betta invest in some anti aging products
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,0,none,english,uci,he fucking chickened out he messaged me he would be late and woould buzz me and then i didn t hear a word from him
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,0,none,english,uci,don t give a flying monkeys wot they think and i certainly don t mind any friend of mine and all that
Delhi Police se bol raha hoon. Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,hinglish,indian,delhi police se bol raha hoon aapke naam par ek criminal complaint register hui hai
;-) ok. I feel like john lennon.,0,none,english,uci,ok i feel like john lennon
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",0,none,english,uci,good afternoon babe how goes that day any job prospects yet i miss you my love sighs
Then get some cash together and I'll text jason,0,none,english,uci,then get some cash together and i ll text jason
"Namaste ma'am Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,lottery,hinglish,indian,namaste ma am amazon se bol raha hoon aapka parcel hold hai clearance charge 499 dena hoga
I think its far more than that but find out. Check google maps for a place from your dorm.,0,none,english,uci,i think its far more than that but find out check google maps for a place from your dorm
Madam ek minute Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,hinglish,indian,madam ek minute aapke documents ka misuse karke financial fraud kiya gaya hai
"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",0,none,english,uci,argh my 3g is spotty anyway the only thing i remember from the research we did was that province and sterling were the only problem free places we looked at
Yo theres no class tmrw right?,0,none,english,uci,yo theres no class tmrw right
"Ji namaskar Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,lottery,hinglish,indian,ji namaskar aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,1,general_spam,english,uci,urgent your mobile number has been awarded with a 2000 prize guaranteed call from land line claim 3030 valid 12hrs only 150ppm
"Yup. Anything lor, if u dun wan it's ok...",0,none,english,uci,yup anything lor if u dun wan it s ok
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0,none,english,uci,pleassssssseeeeee tel me v avent done sportsx
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,0,none,english,uci,bishan lar nearer no need buy so early cos if buy now i gotta park my car
ringtoneking 84484,1,general_spam,english,uci,ringtoneking 84484
Ok... Take ur time n enjoy ur dinner...,0,none,english,uci,ok take ur time n enjoy ur dinner
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1,general_spam,english,uci,get 3 lions england tone reply lionm 4 mono or lionp 4 poly 4 more go 2 the original n best tones 3gbp network operator rates apply
<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,1,general_spam,english,uci,free entry into our 250 weekly comp just send the word enter to 88877 now 18 t c
Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,0,none,english,uci,hey darlin i can pick u up at college if u tell me wen where 2 mt love pete xx
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,1,general_spam,english,uci,we tried to contact you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call
I love you both too :-),0,none,english,uci,i love you both too
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0,none,english,uci,you know my old dom i told you about yesterday his name is roger he got in touch with me last night and wants me to meet him today at 2 pm
K..k:)where are you?how did you performed?,0,none,english,uci,k k where are you how did you performed
IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,0,none,english,uci,im fine babes aint been up 2 much tho saw scary movie yest its quite funny want 2mrw afternoon at town or mall or sumthin xx
"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",0,none,english,uci,hey looks like i was wrong and one of the kappa guys numbers is still on my phone if you want i can text him and see if he s around
i can call in  &lt;#&gt;  min if thats ok,0,none,english,uci,i can call in min if thats ok
todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,1,general_spam,english,uci,todays vodafone numbers ending with 0089 my last four digits are selected to received a 350 award if your number matches please call to claim your 350 award
I'm in town now so i'll jus take mrt down later.,0,none,english,uci,i m in town now so i ll jus take mrt down later
Pandy joined 4w technologies today.he got job..,0,none,english,uci,pandy joined 4w technologies today he got job
Aap sun rahe hain na? Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian,aap sun rahe hain na cab 3 minute mein pahunch raha hai
"Cyber Crime Department se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,bank_kyc,hinglish,indian,cyber crime department se bol raha hoon aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,0,none,english,uci,hcl chennai requires freshers for voice process excellent english needed salary upto call ms suman for telephonic interview via indyarocks com
how tall are you princess?,0,none,english,uci,how tall are you princess
"Namaste sir Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian,namaste sir amazon se bol raha hoon aapka parcel hold hai clearance charge 499 dena hoga
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",0,none,english,uci,he has lots of used ones babe but the model doesn t help youi have to bring it over and he ll match it up
"Total disappointment, when I texted you was the craziest shit got :(",0,none,english,uci,total disappointment when i texted you was the craziest shit got
CBI se bol raha hoon. Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,hinglish,indian,cbi se bol raha hoon aapka mobile number cyber fraud investigation mein aaya hai
K actually can you guys meet me at the sunoco on howard? It should be right on the way,0,none,english,uci,k actually can you guys meet me at the sunoco on howard it should be right on the way
"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1,general_spam,english,uci,loan for any purpose 500 75 000 homeowners tenants welcome have you been previously refused we can still help call free 0800 or text back help
"Cyber Crime Department se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,relative,hinglish,indian,cyber crime department se bol raha hoon amazon se bol raha hoon aapka parcel hold hai clearance charge 499 dena hoga
I think it's all still in my car,0,none,english,uci,i think it s all still in my car
Then ur physics get a-?,0,none,english,uci,then ur physics get a
Mum ask ü to buy food home...,0,none,english,uci,mum ask to buy food home
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1,general_spam,english,uci,hi ibh customer loyalty offer the new nokia6600 mobile from only 10 at txtauction txt word start to no 81151 get yours now 4t
"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",0,none,english,uci,the guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me i m nervous because of course now he may have my address should i call his boss and tell him knowing this may get him fired
U don't remember that old commercial?,0,none,english,uci,u don t remember that old commercial
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",0,none,english,uci,jane babes not goin 2 wrk feel ill after lst nite foned in already cover 4 me chuck
Delhi Police se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,hinglish,indian,delhi police se bol raha hoon congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,0,none,english,uci,mmmm fuck not fair you know my weaknesses grins pushes you to your knee s exposes my belly and pulls your head to it don t forget i know yours too wicked smile
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,none,english,uci,is your hamster dead hey so tmr i meet you at 1pm orchard mrt
What's nannys address?,0,none,english,uci,what s nannys address
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,none,english,uci,do you know what mallika sherawat did yesterday find out now
"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",0,none,english,uci,mmmmm i loved waking to your words this morning i miss you too my love i hope your day goes well and you are happy i wait for us to be together again
Police headquarters se bol raha hoon. Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,hinglish,indian,police headquarters se bol raha hoon aapke documents ka misuse karke financial fraud kiya gaya hai
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,1,general_spam,english,uci,ur going 2 bahamas callfreefone and speak to a live operator to claim either bahamas cruise of 2000 cash 18 only to opt out txt x to
I'm also came to room.,0,none,english,uci,i m also came to room
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,1,general_spam,english,uci,hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg 2day lucy x calls 1 minmobsmorelkpobox177hp51fl
"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",0,none,english,uci,babe how goes that day what are you up to i miss you already my love loving kiss i hope everything goes well
SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1,general_spam,english,uci,sms auction you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hg suite342 2lands row w1jhl 16
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,0,none,english,uci,yup he msg me is tat yijue then i tot it s my group mate cos we meeting today mah i m askin if leaving earlier or wat mah cos mayb haf to walk v far
You are a big chic. Common. Declare,0,none,english,uci,you are a big chic common declare
"Aap sun rahe hain na? School fees ki last date kal hai, payment kar dena.",0,none,hinglish,indian,aap sun rahe hain na school fees ki last date kal hai payment kar dena
First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,0,none,english,uci,first has she gained more than kg since she took in second has she done the blood sugar tests if she has and its ok and her blood pressure is within normal limits then no worries
Its a great day. Do have yourself a beautiful one.,0,none,english,uci,its a great day do have yourself a beautiful one
Namaste ma'am Aapke naam par registered SIM ka misuse report hua hai.,1,police_digital_arrest,hinglish,indian,namaste ma am aapke naam par registered sim ka misuse report hua hai
Hello sir Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian,hello sir project ka review meeting kal 4 baje hai kya
I'll text you when I drop x off,0,none,english,uci,i ll text you when i drop x off
Special Investigation Team se bol raha hoon. Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,hinglish,indian,special investigation team se bol raha hoon aapka mobile number cyber fraud investigation mein aaya hai
I will reach before ten morning,0,none,english,uci,i will reach before ten morning
Huh but i cant go 2 ur house empty handed right?,0,none,english,uci,huh but i cant go 2 ur house empty handed right
"Great. I'm in church now, will holla when i get out",0,none,english,uci,great i m in church now will holla when i get out
I'm at home n ready...,0,none,english,uci,i m at home n ready
No problem. We will be spending a lot of quality time together...,0,none,english,uci,no problem we will be spending a lot of quality time together
Hello sir Aapke naam par registered SIM ka misuse report hua hai.,1,police_digital_arrest,hinglish,indian,hello sir aapke naam par registered sim ka misuse report hua hai
Hello ma'am Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,hinglish,indian,hello ma am aapke documents ka misuse karke financial fraud kiya gaya hai
"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",0,none,english,uci,oops am at my mum s in somerset bit far back tomo see you soon x
I ask if u meeting da ge tmr nite...,0,none,english,uci,i ask if u meeting da ge tmr nite
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,0,none,english,uci,lol you won t feel bad when i use her money to take you out to a steak dinner d
"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",1,general_spam,english,uci,urgent call 09066649731from landline your complimentary 4 ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150ppm 18
Yup n her fren lor. I'm meeting my fren at 730.,0,none,english,uci,yup n her fren lor i m meeting my fren at 730
Haf u found him? I feel so stupid da v cam was working.,0,none,english,uci,haf u found him i feel so stupid da v cam was working
So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,0,none,english,uci,so is there anything specific i should be doing with regards to jaklin or what because idk what the fuck
Madam ek minute Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian,madam ek minute aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain ye cyber crime hai
Am only searching for good dual sim mobile pa.,0,none,english,uci,am only searching for good dual sim mobile pa
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,0,none,english,uci,my sis is catching e show in e afternoon so i m not watching w her so c u wan 2 watch today or tmr lor
"Sir ek minute suniye Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,aadhaar,hinglish,indian,sir ek minute suniye aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,0,none,english,uci,thanks for your message i really appreciate your sacrifice i m not sure of the process of direct pay but will find out on my way back from the test tomorrow i m in class now do have a wonderful day
Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,1,general_spam,english,uci,collect your valentine s weekend to paris inc flight hotel 200 prize guaranteed text paris to no 69101
Well there's still a bit left if you guys want to tonight,0,none,english,uci,well there s still a bit left if you guys want to tonight
Who u talking about?,0,none,english,uci,who u talking about
CBI se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,aadhaar,hinglish,indian,cbi se bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
Ji namaskar Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,hinglish,indian,ji namaskar aapka aadhaar deactivate hone wala hai turant update kijiye
I just really need shit before tomorrow and I know you won't be awake before like 6,0,none,english,uci,i just really need shit before tomorrow and i know you won t be awake before like 6
He didn't see his shadow. We get an early spring yay,0,none,english,uci,he didn t see his shadow we get an early spring yay
Cyber Crime Department se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,amazon,hinglish,indian,cyber crime department se bol raha hoon congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
Pls confirm the time to collect the cheque.,0,none,english,uci,pls confirm the time to collect the cheque
CBI se bol raha hoon. Aapka number telecom fraud case mein identify hua hai.,1,police_digital_arrest,hinglish,indian,cbi se bol raha hoon aapka number telecom fraud case mein identify hua hai
Do u still have plumbers tape and a wrench we could borrow?,0,none,english,uci,do u still have plumbers tape and a wrench we could borrow
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",0,none,english,uci,so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends sh jas
"Awesome, I'll see you in a bit",0,none,english,uci,awesome i ll see you in a bit
Cyber Crime Department se bol raha hoon. Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,hinglish,indian,cyber crime department se bol raha hoon aapke naam par ek criminal complaint register hui hai
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,0,none,english,uci,awww dat is sweet we can think of something to do he he have a nice time tonight ill probably txt u later cos im lonely xxx
For my family happiness..,0,none,english,uci,for my family happiness
I asked you to call him now ok,0,none,english,uci,i asked you to call him now ok
"Until 545 lor... Ya, can go 4 dinner together...",0,none,english,uci,until 545 lor ya can go 4 dinner together
I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..,0,none,english,uci,i like cheap but i m happy to splash out on the wine if it makes you feel better
