text,label,category,language,source,clean_text
"It,,s a taxt massage....tie-pos argh ok! Lool!",0,none,english,uci,it s a taxt massage tie pos argh ok lool
Oh ok i didnt know what you meant. Yep i am baby jontin,0,none,english,uci,oh ok i didnt know what you meant yep i am baby jontin
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,1,general_spam,english,uci,5p 4 alfie moon s children in need song on ur mob tell ur m8s txt tone charity to 8007 for nokias or poly charity for polys zed profit 2 charity
Hey i'm bored... So i'm thinking of u... So wat r u doing?,0,none,english,uci,hey i m bored so i m thinking of u so wat r u doing
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,0,none,english,uci,it has everything to do with the weather keep extra warm its a cold but nothing serious pls lots of vitamin c
AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,0,none,english,uci,ah poor baby hope urfeeling bettersn luv probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",0,none,english,uci,k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas
88066 FROM 88066 LOST 3POUND HELP,1,general_spam,english,uci,88066 from 88066 lost 3pound help
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,1,general_spam,english,uci,want explicit sex in 30 secs ring now costs 20p min gsex pobox 2667 wc1n 3xx
"Sorry, I'll call you  later. I am in meeting sir.",0,none,english,uci,sorry i ll call you later i am in meeting sir
"What i mean was i left too early to check, cos i'm working a 9-6.",0,none,english,uci,what i mean was i left too early to check cos i m working a 9 6
* Will have two more cartons off u and is very pleased with shelves,0,none,english,uci,will have two more cartons off u and is very pleased with shelves
"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",0,none,english,uci,like i made him throw up when we were smoking in our friend s car one time it was awesome
Carlos'll be here in a minute if you still need to buy,0,none,english,uci,carlos ll be here in a minute if you still need to buy
Otherwise had part time job na-tuition..,0,none,english,uci,otherwise had part time job na tuition
K I'll take care of it,0,none,english,uci,k i ll take care of it
"Haha, just what I was thinkin",0,none,english,uci,haha just what i was thinkin
I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,0,none,english,uci,i m on my way home went to change batt 4 my watch then go shop a bit lor
Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),1,general_spam,english,uci,babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo 4msgs
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,none,english,uci,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
I'm putting it on now. It should be ready for  &lt;TIME&gt; ,0,none,english,uci,i m putting it on now it should be ready for
Ok. So april. Cant wait,0,none,english,uci,ok so april cant wait
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",0,none,english,uci,oh yes i ve just been a little under the weather so i ve kind of been coccooning at home
Was doing my test earlier. I appreciate you. Will call you tomorrow.,0,none,english,uci,was doing my test earlier i appreciate you will call you tomorrow
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0,none,english,uci,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them say i m always correct
"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",0,none,english,uci,just gettin a bit arty with my collages at the mo well tryin 2 ne way got a roast in a min lovely i shall enjoy that
Wat time u finish ur lect today?,0,none,english,uci,wat time u finish ur lect today
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",0,none,english,uci,its cool but tyler had to take off so we re gonna buy for him and drop it off at his place later tonight our total order is a quarter you got enough
Goin to workout lor... Muz lose e fats... ,0,none,english,uci,goin to workout lor muz lose e fats
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,none,english,uci,hi babe im at home now wanna do something xx
Those were my exact intentions,0,none,english,uci,those were my exact intentions
Pls accept me for one day. Or am begging you change the number.,0,none,english,uci,pls accept me for one day or am begging you change the number
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",1,general_spam,english,uci,u were outbid by simonwatson5120 on the shinco dvd plyr 2 bid again visit sms ac smsrewards 2 end bid notifications reply end out
"Sorry, I'll call later in meeting.",0,none,english,uci,sorry i ll call later in meeting
Can. Dunno wat to get 4 her...,0,none,english,uci,can dunno wat to get 4 her
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,0,none,english,uci,all these nice new shirts and the only thing i can wear them to is nudist themed you in mu
Yo im right by yo work,0,none,english,uci,yo im right by yo work
Can a not?,0,none,english,uci,can a not
Am in film ill call you later.,0,none,english,uci,am in film ill call you later
I am taking half day leave bec i am not well,0,none,english,uci,i am taking half day leave bec i am not well
I am not having her number sir,0,none,english,uci,i am not having her number sir
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",0,none,english,uci,good afternoon my love how goes your day what are you up to i woke early and am online waiting for you hmmm italian boy is online i see grins
Mine here like all fr china then so noisy.,0,none,english,uci,mine here like all fr china then so noisy
"Nah can't help you there, I've never had an iphone",0,none,english,uci,nah can t help you there i ve never had an iphone
Hope you are having a good week. Just checking in,0,none,english,uci,hope you are having a good week just checking in
I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),0,none,english,uci,i wanted to wish you a happy new year and i wanted to talk to you about some legal advice to do with when gary and i split but in person i ll make a trip to ptbo for that i hope everything is good with you babe and i love ya
National Cyber Cell se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,aadhaar,hinglish,indian,national cyber cell se bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
Aap sun rahe hain na? Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,hinglish,indian,aap sun rahe hain na aapka aadhaar deactivate hone wala hai turant update kijiye
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,1,general_spam,english,uci,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update vco free on
National Cyber Cell se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,amazon,hinglish,indian,national cyber cell se bol raha hoon congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",0,none,english,uci,hi wkend ok but journey terrible wk not good as have huge back log of marking to do
"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",0,none,english,uci,no but we found a diff farm shop to buy some cheese on way back now can i call in
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,0,none,english,uci,no i m in the same boat still here at my moms check me out on yo i m half naked
"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",0,none,english,uci,hellogorgeous hows u my fone was on charge lst nitw wen u texd me hopeu ad a nice wkend as im sure u did lookin 4ward 2 c in u 2mrw luv jaz
ACP Sharma bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian,acp sharma bol raha hoon aapke whatsapp se ladies ko asleel messages bheje ja rahe hain aapko suspect maana ja raha hai
Noice. Text me when you're here,0,none,english,uci,noice text me when you re here
Uhhhhrmm isnt having tb test bad when youre sick,0,none,english,uci,uhhhhrmm isnt having tb test bad when youre sick
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,none,english,uci,yup i thk cine is better cos no need 2 go down 2 plaza mah
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,0,none,english,uci,hey pple 700 or 900 for 5 nights excellent location wif breakfast hamper
I have lost 10 kilos as of today!,0,none,english,uci,i have lost 10 kilos as of today
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",1,general_spam,english,uci,bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call 10p min 2 stop texts call
Cramps stopped. Going back to sleep,0,none,english,uci,cramps stopped going back to sleep
"I've got  &lt;#&gt; , any way I could pick up?",0,none,english,uci,i ve got any way i could pick up
When are you guys leaving?,0,none,english,uci,when are you guys leaving
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",0,none,english,uci,same here but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it don t matter
(You didn't hear it from me),0,none,english,uci,you didn t hear it from me
He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?,0,none,english,uci,he neva grumble but i sad lor hee buy tmr lor aft lunch but we still meetin 4 lunch tmr a not neva hear fr them lei got a lot of work ar
"Aap sun rahe hain na? Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,bank_kyc,hinglish,indian,aap sun rahe hain na aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0,none,english,uci,life is more strict than teacher bcoz teacher teaches lesson then conducts exam but life first conducts exam then teaches lessons happy morning
I need details about that online job.,0,none,english,uci,i need details about that online job
"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",0,none,english,uci,kind of just missed train cos of asthma attack nxt one in half hr so driving in not sure where to park
Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,0,none,english,uci,well at this right i m gonna have to get up and check today s steam sales pee so text me when you want me to come get you
"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",0,none,english,uci,sorry im getting up now feel really bad totally rejected that kinda me thing
"Aight, sounds good. When do you want me to come down?",0,none,english,uci,aight sounds good when do you want me to come down
soon you will have the real thing princess! Do i make you wet? :),0,none,english,uci,soon you will have the real thing princess do i make you wet
I'm job profile seems like bpo..,0,none,english,uci,i m job profile seems like bpo
What should i eat fo lunch senor,0,none,english,uci,what should i eat fo lunch senor
"I'm back, lemme know when you're ready",0,none,english,uci,i m back lemme know when you re ready
"I've got ten bucks, jay is being noncomittal",0,none,english,uci,i ve got ten bucks jay is being noncomittal
Hows the champ just leaving glasgow!,0,none,english,uci,hows the champ just leaving glasgow
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,0,none,english,uci,my house here e sky quite dark liao if raining then got excuse not 2 run already rite hee
Hello ma'am Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,amazon,hinglish,indian,hello ma am congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
Only once then after ill obey all yours.,0,none,english,uci,only once then after ill obey all yours
dont make ne plans for nxt wknd coz she wants us to come down then ok,0,none,english,uci,dont make ne plans for nxt wknd coz she wants us to come down then ok
This pain couldn't have come at a worse time.,0,none,english,uci,this pain couldn t have come at a worse time
U buy newspapers already?,0,none,english,uci,u buy newspapers already
Hhahhaahahah rofl wtf nig was leonardo in your room or something,0,none,english,uci,hhahhaahahah rofl wtf nig was leonardo in your room or something
Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,1,general_spam,english,uci,can u get 2 phone now i wanna chat 2 set up meet call me now on u can cum here 2moro luv jane xx calls 1 minmoremobsemspobox45po139wa
Law enforcement se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,aadhaar,hinglish,indian,law enforcement se bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
I'm in class. Did you get my text.,0,none,english,uci,i m in class did you get my text
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",0,none,english,uci,k jason says he s gonna be around so i ll be up there around
Sir ek minute suniye Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,aadhaar,hinglish,indian,sir ek minute suniye aapka aadhaar deactivate hone wala hai turant update kijiye
You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,0,none,english,uci,you re not sure that i m not trying to make xavier smoke because i don t want to smoke after being told i smoke too much
Police headquarters se bol raha hoon. Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,hinglish,indian,police headquarters se bol raha hoon aapki morphed photos viral ho rahi hain cyber cell ne case register kar liya hai
All done? All handed in? Celebrations in full swing yet?,0,none,english,uci,all done all handed in celebrations in full swing yet
Hello sir Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,amazon,hinglish,indian,hello sir congratulations aapne 40 lakh ka lottery jeeta hai processing fee dena hoga
ACP Sharma bol raha hoon. Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian,acp sharma bol raha hoon aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain ye cyber crime hai
Crime Branch se bol raha hoon. Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian,crime branch se bol raha hoon aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain ye cyber crime hai
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,0,none,english,uci,been running but only managed 5 minutes and then needed oxygen might have to resort to the roller option
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,0,none,english,uci,going thru a very different feeling wavering decisions and coping up with the same is the same individual time will heal everything i believe
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,0,none,english,uci,yar i wanted 2 scold u yest but late already i where got zhong se qing you if u ask me b4 he ask me then i ll go out w u all lor n u still can act so real
Police headquarters se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,hinglish,indian,police headquarters se bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,none,english,uci,what s up bruv hope you had a great break do have a rewarding semester
"(And my man carlos is definitely coming by mu tonight, no excuses)",0,none,english,uci,and my man carlos is definitely coming by mu tonight no excuses
Can you just come in for a sec? There's somebody here I want you to see,0,none,english,uci,can you just come in for a sec there s somebody here i want you to see
Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,0,none,english,uci,err cud do i m going to at 8pm i haven t got a way to contact him until then
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,0,none,english,uci,what u mean u almost done done wif sleeping but i tot u going to take a nap yup i send her liao so i m picking her up at ard 4 smth lor
Yeah sure I'll leave in a min,0,none,english,uci,yeah sure i ll leave in a min
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,1,general_spam,english,uci,do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile 100 free texts free camcorder reply or call
Dunno y u ask me.,0,none,english,uci,dunno y u ask me
I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,0,none,english,uci,i ain t answerin no phone at what is actually a pretty reasonable hour but i m sleepy
No. Yes please. Been swimming?,0,none,english,uci,no yes please been swimming
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",1,general_spam,english,uci,get 3 lions england tone reply lionm 4 mono or lionp 4 poly 4 more go 2 the original n best tones 3gbp network operator rates apply
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",0,none,english,uci,hello my love how goes that day i wish your well and fine babe and hope that you find some job prospects i miss you boytoy a teasing kiss
Hello ma'am Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,aadhaar,hinglish,indian,hello ma am aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
"ACP Sharma bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,amazon,hinglish,indian,acp sharma bol raha hoon aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,1,general_spam,english,uci,free msg we billed your mobile number by mistake from shortcode 83332 please call to have charges refunded this call will be free from a bt landline
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",1,general_spam,english,uci,new mobiles from 2004 must go txt nokia to no 89545 collect yours today from only 1 2optout 50gbp mtmsg18 txtauction
Hello sir Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian,hello sir project ka review meeting kal 4 baje hai kya
You need to get up. Now.,0,none,english,uci,you need to get up now
What time you thinkin of goin?,0,none,english,uci,what time you thinkin of goin
In the end she might still vomit but its okay. Not everything will come out.,0,none,english,uci,in the end she might still vomit but its okay not everything will come out
Hey so whats the plan this sat? ,0,none,english,uci,hey so whats the plan this sat
"Sir ek minute suniye Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,relative,hinglish,indian,sir ek minute suniye amazon se bol raha hoon aapka parcel hold hai clearance charge 499 dena hoga
Hello ji Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,hinglish,indian,hello ji aapka aadhaar deactivate hone wala hai turant update kijiye
Do u noe how 2 send files between 2 computers?,0,none,english,uci,do u noe how 2 send files between 2 computers
Wah lucky man... Then can save money... Hee...,0,none,english,uci,wah lucky man then can save money hee
When should I come over?,0,none,english,uci,when should i come over
Am I the only one who doesn't stalk profiles?,0,none,english,uci,am i the only one who doesn t stalk profiles
Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,0,none,english,uci,then its most likely called mittelschmertz google it if you dont have paracetamol dont worry it will go
Life style garments account no please.,0,none,english,uci,life style garments account no please
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",0,none,english,uci,the last thing i ever wanted to do was hurt you and i didn t think it would have you d laugh be embarassed delete the tag and keep going but as far as i knew it wasn t even up the fact that you even felt like i would do it to hurt you shows you really don t know me at all it was messy wednesday but it wasn t bad the problem i have with it is you have the time to clean it but you choose not to you skype you take pictures you sleep you want to go out i don t mind a few things here and there but when you don t make the bed when you throw laundry on top of it when i can t have a friend in the house because i m embarassed that there s underwear and bras strewn on the bed pillows on the floor that s something else you used to be good about at least making the bed
Yup but it's not giving me problems now so mayb i'll jus leave it...,0,none,english,uci,yup but it s not giving me problems now so mayb i ll jus leave it
National Cyber Cell se bol raha hoon. Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,hinglish,indian,national cyber cell se bol raha hoon aapke phone se illegal obscene content circulate ho raha hai digital arrest ho sakta hai
Why nothing. Ok anyway give me treat,0,none,english,uci,why nothing ok anyway give me treat
"Ji haan suniye Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,bank_kyc,hinglish,indian,ji haan suniye aapke father ko accident ho gaya hai turant 50 000 bhej dijiye hospital ke liye
Hey mr whats the name of that bill brison book the one about language and words ,0,none,english,uci,hey mr whats the name of that bill brison book the one about language and words
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,0,none,english,uci,gr8 so how do you handle the victoria island traffic plus when s the album due
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,general_spam,english,uci,your b4u voucher w c 27 03 is marsms log onto for discount credit to opt out reply stop customer care call
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,0,none,english,uci,u definitely need a module from e humanities dis sem izzit u wan 2 take other modules 1st
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1,general_spam,english,uci,urgent your 4 costa del sol holiday or 5000 await collection call now toclaim sae tc s pobox334 stockport sk38xh cost 1 50 pm max10mins
Aap sun rahe hain na? Aapke khilaaf digital fraud complaint receive hui hai.,1,police_digital_arrest,hinglish,indian,aap sun rahe hain na aapke khilaaf digital fraud complaint receive hui hai
 &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,0,none,english,uci,m but its not a common car here so its better to buy from china or asia or if i find it less expensive i ll holla
I'm e person who's doing e sms survey...,0,none,english,uci,i m e person who s doing e sms survey
"Goodmorning, Today i am late for  &lt;#&gt; min.",0,none,english,uci,goodmorning today i am late for min
Sday only joined.so training we started today:),0,none,english,uci,sday only joined so training we started today
"Hello ma'am Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian,hello ma am mummy main office pahunch gaya aaj thoda late ho jaunga
Msg me when rajini comes.,0,none,english,uci,msg me when rajini comes
Pls come quick cant bare this.,0,none,english,uci,pls come quick cant bare this
87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,1,general_spam,english,uci,87077 kick off a new season with 2wks free goals news to ur mobile txt ur club name to 87077 eg villa to 87077
Ji haan suniye Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian,ji haan suniye aapke whatsapp se ladies ko asleel messages bheje ja rahe hain aapko suspect maana ja raha hai
Theyre doing it to lots of places. Only hospitals and medical places are safe.,0,none,english,uci,theyre doing it to lots of places only hospitals and medical places are safe
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,1,general_spam,english,uci,4mths half price orange line rental latest camera phones 4 free had your phone 11mths call mobilesdirect free on to update now or2stoptxt t cs
Oh thanks a lot..i already bought 2 eggs ..,0,none,english,uci,oh thanks a lot i already bought 2 eggs
TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,1,general_spam,english,uci,tbs persolvo been chasing us since sept for 38 definitely not paying now thanks to your information we will ignore them kath manchester
ACP Sharma bol raha hoon. Police station se bol raha hoon. Aapke mobile number se illegal messages bheje gaye hain.,1,police_digital_arrest,hinglish,indian,acp sharma bol raha hoon police station se bol raha hoon aapke mobile number se illegal messages bheje gaye hain
U ned to convince him tht its not possible witot hurting his feeling its the main,0,none,english,uci,u ned to convince him tht its not possible witot hurting his feeling its the main
Didn't you get hep b immunisation in nigeria.,0,none,english,uci,didn t you get hep b immunisation in nigeria
"As usual..iam fine, happy &amp; doing well..:)",0,none,english,uci,as usual iam fine happy doing well
